seq,rtt_us,status,rxq_drops_delta
485,1397.586,ok,0
486,1419.006,ok,0
487,1393.338,ok,0
488,1374.382,ok,0
489,1386.835,ok,0
490,1386.835,ok,0
491,1388.699,ok,0
492,1389.120,ok,0
493,1393.929,ok,0
494,1390.311,ok,0
495,1394.009,ok,0
496,1390.803,ok,0
497,1391.724,ok,0
498,1389.720,ok,0
499,1389.110,ok,0
500,1393.438,ok,0
501,1387.196,ok,0
502,1389.952,ok,0
503,1389.931,ok,0
504,1389.100,ok,0
505,1391.384,ok,0
506,1388.408,ok,0
507,1385.713,ok,0
508,1390.162,ok,0
509,1388.970,ok,0
510,1389.751,ok,0
511,1388.909,ok,0
512,1389.861,ok,0
513,1388.338,ok,0
514,1434.304,ok,0
515,1411.411,ok,0
516,1392.446,ok,0
517,1442.850,ok,0
518,1420.799,ok,0
519,1399.539,ok,0
520,1395.402,ok,0
521,1390.443,ok,0
522,1391.575,ok,0
523,1390.292,ok,0
524,1391.595,ok,0
525,1394.369,ok,0
526,1391.114,ok,0
527,1394.460,ok,0
528,1394.920,ok,0
529,1390.482,ok,0
530,1418.354,ok,0
531,1391.735,ok,0
532,1389.491,ok,0
533,1390.242,ok,0
534,1389.621,ok,0
535,1393.107,ok,0
536,1393.028,ok,0
537,1390.442,ok,0
538,1397.305,ok,0
539,1390.983,ok,0
540,1390.272,ok,0
541,1390.352,ok,0
542,1397.195,ok,0
543,1428.753,ok,0
544,1390.983,ok,0
545,1391.313,ok,0
546,1388.930,ok,0
547,1387.727,ok,0
548,1395.712,ok,0
549,1391.234,ok,0
550,1388.118,ok,0
551,1405.070,ok,0
552,1397.385,ok,0
553,1390.061,ok,0
554,1400.461,ok,0
555,1392.195,ok,0
556,1389.350,ok,0
557,1390.823,ok,0
558,1379.692,ok,0
559,1389.911,ok,0
560,1393.809,ok,0
561,1389.341,ok,0
562,1389.961,ok,0
563,1390.433,ok,0
564,1388.619,ok,0
565,1400.160,ok,0
566,1394.711,ok,0
567,1393.378,ok,0
568,1394.540,ok,0
569,1391.123,ok,0
570,1389.420,ok,0
571,1391.534,ok,0
572,1389.851,ok,0
573,1389.600,ok,0
574,1438.933,ok,0
575,1462.347,ok,0
576,1475.040,ok,0
577,1454.742,ok,0
578,1488.486,ok,0
579,1493.715,ok,0
580,1497.262,ok,0
581,1536.866,ok,0
582,1491.902,ok,0
583,1528.110,ok,0
584,1514.164,ok,0
585,1473.337,ok,0
586,1474.890,ok,0
587,1498.314,ok,0
588,1846.035,ok,0
589,1559.528,ok,0
590,2028.907,ok,0
591,1554.530,ok,0
592,1841.576,ok,0
593,1555.812,ok,0
594,2217.259,ok,0
595,1595.075,ok,0
596,1539.722,ok,0
597,1541.465,ok,0
598,1542.967,ok,0
599,1592.370,ok,0
600,2000.253,ok,0
601,1561.863,ok,0
602,1834.944,ok,0
603,1549.159,ok,0
604,1986.587,ok,0
605,1558.176,ok,0
606,1840.795,ok,0
607,1560.410,ok,0
608,1542.927,ok,0
609,1830.205,ok,0
